1,2.5
2,2.35
3,2.2
4,2.05
5,1.9
6,1.85
7,1.8
8,1.75
9,1.7
10,1.65
11,1.625
12,1.6
13,1.575
14,1.55
15,1.525
16,1.5
17,1.475
18,1.45
19,1.425
20,1.4
21,1.3867
22,1.3733
23,1.36
24,1.3467
25,1.3333
26,1.32
27,1.3067
28,1.2933
29,1.28
30,1.2667
31,1.2533
32,1.24
33,1.2267
34,1.2133
35,1.2
36,1.195
37,1.19
38,1.185
39,1.18
40,1.175
41,1.17
42,1.165
43,1.16
44,1.155
45,1.15
46,1.145
47,1.14
48,1.135
49,1.13
50,1.125
51,1.12
52,1.115
53,1.11
54,1.105
55,1.1
56,1.095
57,1.09
58,1.085
59,1.08
60,1.075
61,1.07
62,1.065
63,1.06
64,1.055
65,1.05
66,1.045
67,1.04
68,1.035
69,1.03
70,1.025
71,1.02
72,1.015
73,1.01
74,1.005
75,1
76,0.9984
77,0.9968
78,0.9952
79,0.9936
80,0.992
81,0.9904
82,0.9888
83,0.9872
84,0.9856
85,0.984
86,0.9824
87,0.9808
88,0.9792
89,0.9776
90,0.976
91,0.9744
92,0.9728
93,0.9712
94,0.9696
95,0.968
96,0.9664
97,0.9648
98,0.9632
99,0.9616
100,0.96
101,0.9584
102,0.9568
103,0.9552
104,0.9536
105,0.952
106,0.9504
107,0.9488
108,0.9472
109,0.9456
110,0.944
111,0.9424
112,0.9408
113,0.9392
114,0.9376
115,0.936
116,0.9344
117,0.9328
118,0.9312
119,0.9296
120,0.928
121,0.9264
122,0.9248
123,0.9232
124,0.9216
125,0.92
126,0.9184
127,0.9168
128,0.9152
129,0.9136
130,0.912
131,0.9104
132,0.9088
133,0.9072
134,0.9056
135,0.904
136,0.9024
137,0.9008
138,0.8992
139,0.8976
140,0.896
141,0.8944
142,0.8928
143,0.8912
144,0.8896
145,0.888
146,0.8864
147,0.8848
148,0.8832
149,0.8816
150,0.88
151,0.8784
152,0.8768
153,0.8752
154,0.8736
155,0.872
156,0.8704
157,0.8688
158,0.8672
159,0.8656
160,0.864
161,0.8624
162,0.8608
163,0.8592
164,0.8576
165,0.856
166,0.8544
167,0.8528
168,0.8512
169,0.8496
170,0.848
171,0.8464
172,0.8448
173,0.8432
174,0.8416
175,0.84
176,0.8384
177,0.8368
178,0.8352
179,0.8336
180,0.832
181,0.8304
182,0.8288
183,0.8272
184,0.8256
185,0.824
186,0.8224
187,0.8208
188,0.8192
189,0.8176
190,0.816
191,0.8144
192,0.8128
193,0.8112
194,0.8096
195,0.808
196,0.8064
197,0.8048
198,0.8032
199,0.8016
200,0.8
201,0.79933
202,0.79867
203,0.798
204,0.79733
205,0.79667
206,0.796
207,0.79533
208,0.79467
209,0.794
210,0.79333
211,0.79267
212,0.792
213,0.79133
214,0.79067
215,0.79
216,0.78933
217,0.78867
218,0.788
219,0.78733
220,0.78667
221,0.786
222,0.78533
223,0.78467
224,0.784
225,0.78333
226,0.78267
227,0.782
228,0.78133
229,0.78067
230,0.78
231,0.77933
232,0.77867
233,0.778
234,0.77733
235,0.77667
236,0.776
237,0.77533
238,0.77467
239,0.774
240,0.77333
241,0.77267
242,0.772
243,0.77133
244,0.77067
245,0.77
246,0.76933
247,0.76867
248,0.768
249,0.76733
250,0.76667
251,0.766
252,0.76533
253,0.76467
254,0.764
255,0.76333
256,0.76267
257,0.762
258,0.76133
259,0.76067
260,0.76
261,0.75933
262,0.75867
263,0.758
264,0.75733
265,0.75667
266,0.756
267,0.75533
268,0.75467
269,0.754
270,0.75333
271,0.75267
272,0.752
273,0.75133
274,0.75067
275,0.75
276,0.74933
277,0.74867
278,0.748
279,0.74733
280,0.74667
281,0.746
282,0.74533
283,0.74467
284,0.744
285,0.74333
286,0.74267
287,0.742
288,0.74133
289,0.74067
290,0.74
291,0.73933
292,0.73867
293,0.738
294,0.73733
295,0.73667
296,0.736
297,0.73533
298,0.73467
299,0.734
300,0.73333
301,0.73267
302,0.732
303,0.73133
304,0.73067
305,0.73
306,0.72933
307,0.72867
308,0.728
309,0.72733
310,0.72667
311,0.726
312,0.72533
313,0.72467
314,0.724
315,0.72333
316,0.72267
317,0.722
318,0.72133
319,0.72067
320,0.72
321,0.71933
322,0.71867
323,0.718
324,0.71733
325,0.71667
326,0.716
327,0.71533
328,0.71467
329,0.714
330,0.71333
331,0.71267
332,0.712
333,0.71133
334,0.71067
335,0.71
336,0.70933
337,0.70867
338,0.708
339,0.70733
340,0.70667
341,0.706
342,0.70533
343,0.70467
344,0.704
345,0.70333
346,0.70267
347,0.702
348,0.70133
349,0.70067
350,0.7
351,0.69988
352,0.69975
353,0.69962
354,0.6995
355,0.69938
356,0.69925
357,0.69912
358,0.699
359,0.69888
360,0.69875
361,0.69862
362,0.6985
363,0.69837
364,0.69825
365,0.69812
366,0.698
367,0.69788
368,0.69775
369,0.69762
370,0.6975
371,0.69737
372,0.69725
373,0.69712
374,0.697
375,0.69688
376,0.69675
377,0.69662
378,0.6965
379,0.69637
380,0.69625
381,0.69612
382,0.696
383,0.69588
384,0.69575
385,0.69562
386,0.6955
387,0.69537
388,0.69525
389,0.69512
390,0.695
391,0.69488
392,0.69475
393,0.69462
394,0.6945
395,0.69437
396,0.69425
397,0.69412
398,0.694
399,0.69388
400,0.69375
401,0.69363
402,0.6935
403,0.69337
404,0.69325
405,0.69312
406,0.693
407,0.69287
408,0.69275
409,0.69263
410,0.6925
411,0.69237
412,0.69225
413,0.69212
414,0.692
415,0.69187
416,0.69175
417,0.69163
418,0.6915
419,0.69137
420,0.69125
421,0.69112
